事件guid,规则名称,描述,预警时间,状态,级别
178de866c6da41c28c0a602fb6620007,疑似共同食品聚集,食品名称：包子;加工及包装方式：餐饮服务业,2019/8/2 1:06,已排除,省级
440fc25ae7694f748a354b5c1dc14fdb,疑似共同食品聚集,食品品牌：康师傅;食品名称：方便面;加工及包装方式：预包装,2019/11/8 1:14,已排除,省级
46bf3f8f590f421d9b3090bd36dcd654,疑似共同食品聚集,食品名称：龙虾;加工及包装方式：餐饮服务业,2019/9/20 1:12,已排除,省级
3d50e27142934444af1a7f93ea9a07f9,疑似共同食品聚集,食品名称：烤肉;加工及包装方式：餐饮服务业,2019/12/17 12:18,已排除,省级
396ebb0a32494fb8af2c7a18f1531819,疑似共同食品聚集,食品名称：虾;加工及包装方式：餐饮服务业,2019/8/18 1:10,已排除,省级
3bc852b81c1545a399477be88135f1c8,疑似共同食品聚集,食品名称：麻辣;加工及包装方式：餐饮服务业,2019/10/14 1:12,已排除,省级
3df50dcadb1e4569acc2243c3fd89076,疑似共同食品聚集,食品名称：肉包子;加工及包装方式：餐饮服务业,2019/12/12 12:17,已排除,省级
2e72e967c1ab4635837ed5665f0ccadf,疑似共同食品聚集,食品名称：肉包子;加工及包装方式：餐饮服务业,2019/9/24 16:13,已排除,省级
2dc4877835934069a0a5a6026da16c26,疑似共同食品聚集,食品名称：奶茶;加工及包装方式：餐饮服务业,2019/8/21 1:10,已排除,省级
28f945201d9540e3bfbcfd1d6fdf0a47,疑似共同食品聚集,食品名称：豆腐;加工及包装方式：餐饮服务业,2019/11/24 12:16,已排除,省级
2a6edc027b5644f3825c1cb6ded1e382,疑似共同食品聚集,食品名称：烤肉;加工及包装方式：餐饮服务业,2019/8/30 16:13,已排除,省级
393900f352cf44bcaf114d59f4b2e7cc,疑似共同食品聚集,食品名称：牛肉;加工及包装方式：餐饮服务业,2019/9/29 12:12,已排除,省级
35686d5fc2a5430dafd070733e78846a,疑似共同食品聚集,食品名称：奶茶;加工及包装方式：餐饮服务业,2019/9/27 12:12,已排除,省级
34dca1a018ad42c881f30905b72373e1,疑似共同食品聚集,食品名称：烧烤;加工及包装方式：餐饮服务业,2019/10/8 12:12,已排除,省级
e70e0d979bb6470bad6ab1c80e88b987,疑似共同食品聚集,食品名称：烤肉;加工及包装方式：餐饮服务业,2019/8/3 1:06,已排除,省级
e5b406a0e33b49598d80a4f757c0919e,疑似共同食品聚集,食品名称：烧烤;加工及包装方式：餐饮服务业,2019/10/25 16:15,已排除,省级
e6c82eaaf0514be48069a7fb4bf09374,疑似共同食品聚集,食品名称：牛肉;加工及包装方式：餐饮服务业,2019/9/12 12:11,已排除,省级
ed69dfcb819c4c3a9bd257bb9dee4c21,横纹肌溶解综合症监测,初步诊断：横纹肌溶解综合征,2019/8/8 1:06,已排除,省级
ef1cfc04bc244ce2a6bb7efab167cf43,疑似共同食品聚集,食品名称：肉包子;加工及包装方式：餐饮服务业,2019/9/9 12:11,已排除,省级
ef7600b2b80e418d8c2bf4c1919a7a1a,疑似共同食品聚集,食品名称：麻辣烫;加工及包装方式：餐饮服务业,2019/8/28 16:12,已排除,省级
ef7fd170b75441c8b44e0bae53f09278,疑似共同食品聚集,食品名称：鱿鱼;加工及包装方式：餐饮服务业,2019/8/26 16:12,已排除,省级
eab7b5a9b44f41d0ad029f986b73ea49,疑似共同食品聚集,食品名称：螃蟹;加工及包装方式：餐饮服务业,2019/9/15 1:11,已排除,省级
f0decf3619594135bef7f0ea45bcacb5,疑似共同食品聚集,食品名称：油条;加工及包装方式：餐饮服务业,2019/9/4 12:11,已排除,省级
f64167ba03214b5c81aa31dc3064b426,疑似共同食品聚集,食品名称：龙虾;加工及包装方式：餐饮服务业,2019/8/15 12:11,已排除,省级
f56bf437bf684eb3951f188139e029d9,疑似共同食品聚集,食品名称：油条;加工及包装方式：餐饮服务业,2019/11/25 12:16,已排除,省级
fe477ac524704ffb8fcbca81a7e20517,疑似共同食品聚集,食品名称：海鲜;加工及包装方式：餐饮服务业,2019/8/12 12:11,已排除,省级
fa56fc6d40d444409143589d5c8b0a75,疑似共同食品聚集,食品名称：炒粉;加工及包装方式：餐饮服务业,2019/9/12 16:13,已排除,省级
abea218652544a6ab8ddd11fc4ea1390,疑似共同食品聚集,食品品牌：伊利;食品名称：牛奶;加工及包装方式：预包装,2019/11/25 12:16,已排除,省级
ab36f5ac4b8f4ed7b03fdaa30811552c,疑似共同食品聚集,食品名称：烧烤;加工及包装方式：餐饮服务业,2019/12/24 16:19,已排除,省级
9fce13163d674f92a94c70f5d2a7322c,疑似共同食品聚集,食品品牌：伊利;食品名称：牛奶;加工及包装方式：预包装,2019/10/29 1:14,已排除,省级
b3059075fc4f4c01b6332c726a17df5b,疑似共同食品聚集,食品名称：包子;加工及包装方式：餐饮服务业,2019/12/10 12:17,已排除,省级
b2244abe79ee40cd82ab5f02f5db6c15,疑似共同食品聚集,食品名称：烧烤;加工及包装方式：餐饮服务业,2019/8/29 12:11,已排除,省级
b1643baee7664f4ba0c6359b78217a03,疑似共同食品聚集,食品名称：龙虾;加工及包装方式：餐饮服务业,2019/7/23 0:16,已排除,省级
aca755abc61649b0aa47644c0b821716,疑似共同食品聚集,食品名称：肉包子;加工及包装方式：餐饮服务业,2019/10/18 16:18,已排除,省级
aed10e2118364c95b103356363f2743f,疑似共同食品聚集,食品名称：龙虾;加工及包装方式：餐饮服务业,2019/9/11 16:13,已排除,省级
bdd0f40796fc4863bd381862735e5edc,疑似共同食品聚集,食品品牌：康师傅;食品名称：方便面;加工及包装方式：预包装,2019/10/15 16:15,已排除,省级
b565b842d07b449f80fa20fa193853c4,疑似共同食品聚集,食品名称：豆浆;加工及包装方式：餐饮服务业,2019/11/27 12:16,已排除,省级
d3a8573bc3204c74b243e7173a2e6de8,疑似共同食品聚集,食品名称：卤粉;加工及包装方式：餐饮服务业,2019/11/21 12:15,已排除,省级
daf4ad1dd5d644d28bd2ff72c623f584,疑似共同食品聚集,食品品牌：伊利;食品名称：牛奶;加工及包装方式：预包装,2019/12/25 12:18,已排除,省级
d8ccd18e6a06437ab777085520beb147,疑似共同食品聚集,食品名称：麻辣烫;加工及包装方式：餐饮服务业,2019/10/11 1:12,已排除,省级
d8eca489b9af4772881b6c68481891a3,疑似共同食品聚集,食品品牌：蒙牛;食品名称：酸奶;加工及包装方式：预包装,2019/9/13 1:11,已排除,省级
d9169f25582f47c4853b2ac3830856f8,疑似共同食品聚集,食品名称：奶茶;加工及包装方式：餐饮服务业,2019/11/30 16:16,已确定,省级
e4d8ada3ecbe4d53b59d66af535fe51e,疑似共同食品聚集,食品名称：火锅;加工及包装方式：餐饮服务业,2019/9/4 12:11,已排除,省级
dca26f2e577a4db9bc5179b262ed4778,疑似共同食品聚集,食品名称：麻辣烫;加工及包装方式：餐饮服务业,2019/9/17 12:12,已排除,省级
d026695ebf7d4cb1b08b0bbf4e6e2492,疑似共同食品聚集,食品名称：油条;加工及包装方式：餐饮服务业,2019/10/10 16:13,已排除,省级
cfb0ef7a8ccc4f5881919c2ce5e59394,疑似共同食品聚集,食品名称：麻辣烫;加工及包装方式：餐饮服务业,2019/10/22 12:15,已排除,省级
c94a86a010f84a8dac9f8d20d78d5b9f,疑似共同食品聚集,食品名称：米粉;加工及包装方式：餐饮服务业,2019/7/23 0:16,已排除,省级
ccb22e81b8a74d1a89fe49fa0f2d3cb7,疑似共同食品聚集,食品名称：虾;加工及包装方式：餐饮服务业,2019/11/11 12:15,已排除,省级
c8996509ca6e4688912277c6ef09aaa0,疑似共同食品聚集,食品名称：火锅;加工及包装方式：餐饮服务业,2019/11/25 16:16,已排除,省级
c89ee5d7a234411593e9d7885da206ad,疑似共同食品聚集,食品名称：牛肉;加工及包装方式：餐饮服务业,2019/10/21 12:15,已排除,省级
c2a40b623b6b40c69fea2fc6fe57c4e9,疑似共同食品聚集,食品名称：烧烤;加工及包装方式：餐饮服务业,2019/12/9 16:18,已排除,省级
ec1168e7fac54dcba245a53d91c9d097,疑似共同食品聚集,食品名称：烤鸡翅;加工及包装方式：餐饮服务业,2019/7/31 16:06,已排除,医院级
1f737f904b694fadafcfb817a8413891,疑似共同食品聚集,食品名称：肉夹馍;加工及包装方式：餐饮服务业,2019/8/16 12:10,已排除,医院级
82141df36b304dcca92b3462eef40d6b,疑似共同食品聚集,食品名称：烤猪肉串;加工及包装方式：餐饮服务业,2019/7/31 16:06,已排除,医院级
3ced9cebaf074daab1d8eaa0b7a1ac4e,疑似共同地点聚集,进食场所：其他;详细进食地点：山东省东营市河口区六合街道卫生院,2019/8/4 1:04,已排除,医院级
5f01ddbf9ada4e1ea2f629bca8ec1cb5,疑似共同地点聚集,进食场所：其他;详细进食地点：河南省濮阳市台前县清水河乡卫生院,2019/12/12 12:16,已排除,医院级
98caf553edc64587a0493ca0d016a568,疑似共同地点聚集,进食场所：其他;详细进食地点：四川省凉山彝族自治州布拖县街头,2019/11/25 1:14,已排除,医院级
32683ff61c8340beafe5704bccc7fe5c,疑似共同地点聚集,进食场所：街头食品;详细进食地点：四川省凉山彝族自治州布拖县街边小吃店,2019/11/25 1:14,已排除,医院级
29a8cd2d5c2d4ff2be9a8bd0d5eba246,疑似共同食品聚集,食品名称：抄手;加工及包装方式：餐饮服务业,2019/11/25 1:15,已排除,医院级
eef63d1399c54a298baaadd203a5aab7,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：四川省凉山彝族自治州布拖县小吃店,2019/12/7 1:16,已排除,医院级
b0af11d3276f406f84565633fe7de058,疑似共同食品聚集,食品名称：米粉;加工及包装方式：餐饮服务业,2019/11/25 1:15,已排除,医院级
02b14e7ebb15480b8b0867339bc07009,疑似共同食品聚集,食品名称：海鲜;加工及包装方式：餐饮服务业,2019/7/31 12:06,已排除,地市级
8b8d976fbfd44b5aa32c7609f52d7212,疑似共同地点聚集,进食场所：街头食品;详细进食地点：山东省临沂市平邑县石固兰州拉面,2019/9/3 12:10,已排除,医院级
6c1353a1ccd64396a0c58e503c78be7e,疑似共同食品聚集,食品名称：拉面;加工及包装方式：餐饮服务业,2019/9/3 12:10,已排除,医院级
22e83f5f6f4344b5982017a532df569b,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：四川省绵阳市涪城区某小餐馆,2019/11/15 16:14,已排除,医院级
2a80e48a261845449c452cb7c4bcd6c4,疑似共同地点聚集,进食场所：学校食堂;详细进食地点：四川省绵阳市涪城区南山中学食堂,2019/12/18 16:17,已排除,医院级
2f658ea7f2c040329e615c20b3d0861f,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：四川省绵阳市涪城区某餐馆,2019/11/15 12:14,已排除,医院级
c51ab91b975d4ee9a02a3419583738f1,疑似共同食品聚集,食品名称：火锅（千层肚）;加工及包装方式：餐饮服务业,2019/11/4 16:16,已排除,医院级
fad3c08c57024434aca53af26d04a362,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：四川省绵阳市涪城区某火锅店,2019/11/5 16:14,已排除,医院级
978c19ab494e476d8c2c8302b8bfb3fe,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：山东省聊城市东昌府区饭店,2019/7/18 3:00,已排除,医院级
96512e16cb24454d8d20f106637a96a2,疑似共同食品聚集,食品品牌：杨国福;食品名称：麻辣烫;加工及包装方式：餐饮服务业,2019/9/25 12:12,已排除,区县级
6dc37e876ddc423abdf232eb15504b99,疑似共同食品聚集,食品名称：海鲜;加工及包装方式：餐饮服务业,2019/9/12 12:11,已排除,区县级
8d77a3722c2242dda10ec88a36ad5e1a,疑似共同食品聚集,食品品牌：飞鹤奶粉;食品名称：奶粉;加工及包装方式：预包装,2019/8/10 1:09,已排除,医院级
73c5aeca79e44c6d89755a4e62953d08,疑似共同食品聚集,食品品牌：高培;食品名称：奶粉;加工及包装方式：预包装,2019/9/23 12:11,已排除,医院级
b01b9d2da59c4980a2d99fb99c9be965,疑似共同食品聚集,食品品牌：飞鹤奶粉;食品名称：奶粉;加工及包装方式：预包装,2019/10/8 12:12,已排除,医院级
98ec0cefeea743569161f67854b5588f,疑似共同食品聚集,食品品牌：飞鹤;食品名称：奶粉;加工及包装方式：预包装,2019/8/28 12:10,已排除,医院级
7eb87b6893be447b85a9ff20283c74a4,疑似共同食品聚集,食品名称：肉串;加工及包装方式：餐饮服务业,2019/10/23 12:14,已排除,医院级
43961897674549d0aae365374fd448bc,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：黑龙江省鹤岗市萝北县烧烤时代,2019/10/23 12:13,已排除,医院级
8965881fac194fe49becbdbf8071aa44,疑似共同地点聚集,进食场所：其他;详细进食地点：湖南省湘西土家族苗族自治州保靖县毛沟镇街道,2019/12/18 1:17,已排除,医院级
7f13a2ea357c4329ae8f5df01daddd55,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：湖南省长沙市岳麓区梅溪湖街道筑尔顿海鲜自助,2019/7/30 12:04,已确定,医院级
753424ef50664ed3a8fb49010c9d695d,疑似共同地点聚集,进食场所：学校食堂;详细进食地点：湖南省长沙市岳麓区梅溪湖街道大树幼儿园,2019/10/11 12:11,已排除,医院级
6c4bf5c8d8b24933af4926ef2494b3b6,疑似共同地点聚集,进食场所：学校;详细进食地点：湖南省长沙市宁乡县碧桂园学校,2019/12/25 16:17,已排除,医院级
3bd3a0f3fd00440b996acac8b87f2349,疑似共同食品聚集,食品名称：炒粉;加工及包装方式：餐饮服务业,2019/12/25 16:19,已排除,医院级
079f8b4472814b35a2e804a25470802f,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：湖南省长沙市天心区坡子街步行街韩大地自助,2019/7/26 1:26,已排除,医院级
121e5cd40eb94570966bc22d9ca15e16,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：湖南省长沙市岳麓区岳麓罗马公寓楼下冒冒哒冒菜,2019/9/3 16:10,已排除,医院级
b2b3057fbcff43e794b4486de1b8fcb0,疑似共同食品聚集,食品名称：包子;加工及包装方式：餐饮服务业,2019/12/25 16:19,已排除,医院级
4d5e9bc20e72484b832533f465d38223,疑似共同地点聚集,进食场所：农村宴席;详细进食地点：江西省赣州市石城县屏山镇屏山村下马组,2019/8/10 1:08,已确定,区县级
a12318c64a7b46a9a87d87d5e6e31687,疑似共同食品聚集,食品品牌：老冰棍;食品名称：冰糕;加工及包装方式：预包装,2019/8/9 12:09,已排除,医院级
c375f729ecfb48e6be64f6b7bfc009d5,疑似共同食品聚集,食品品牌：白小纯;食品名称：过期3天牛奶;加工及包装方式：预包装,2019/8/10 12:09,已排除,医院级
f3c8ade2ae8b441dbe46b4d7902457e0,疑似共同地点聚集,进食场所：学校食堂;详细进食地点：四川省绵阳市平武县学校食堂,2019/10/18 12:13,已排除,医院级
61a3a26b110944a292c07f421f6bec87,疑似共同地点聚集,进食场所：学校;详细进食地点：四川省绵阳市平武县龙安中学食堂,2019/9/21 12:11,已排除,医院级
2cc25fde08da4c5a94f56783ff123267,疑似共同食品聚集,食品名称：煮猪肉抄手;加工及包装方式：餐饮服务业,2019/9/21 12:11,已排除,医院级
2194af558ed44f46b63ffe4bf64a1f5c,疑似共同食品聚集,食品名称：野蘑菇;加工及包装方式：餐饮服务业,2019/8/27 12:10,已确定,医院级
8eee4abf9c024ca2997c9103fc073b23,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：湖南省永州市道县寿雁镇胡记旺仔酒店,2019/8/27 12:09,已确定,医院级
0c6375bb42d440789b3c86e10832f2f0,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：河北省邯郸市广平县广平镇城内村,2019/9/9 12:10,已排除,医院级
6e9b0657e47e4bdaaa2e1a79077c3d34,疑似共同食品聚集,食品名称：豆浆;加工及包装方式：餐饮服务业,2019/8/14 12:10,已排除,医院级
c815454683494ff0bc4615759885cb8b,疑似共同食品聚集,食品名称：油条;加工及包装方式：餐饮服务业,2019/8/14 12:10,已排除,医院级
0b61c1f97172475780a293a442b0a895,疑似共同食品聚集,食品名称：小龙虾;加工及包装方式：餐饮服务业,2019/8/5 12:06,已排除,医院级
166b80293e4846c1ab2cdc76b8b54e08,疑似共同地点聚集,进食场所：工地食堂;详细进食地点：贵州省遵义市红花岗区尚博建筑公司食堂,2019/9/27 12:10,已排除,医院级
a96817f107ef4598a19b7f6edd21d72c,疑似共同地点聚集,进食场所：工地食堂;详细进食地点：贵州省遵义市红花岗区尚博建筑公司,2019/9/27 12:10,已排除,医院级
9ffc3675ae464deb9f72ac81e977dd79,疑似共同食品聚集,食品名称：麻辣香锅;加工及包装方式：餐饮服务业,2019/9/29 12:11,已排除,医院级
1dbee2e5c4ac4c22a529cfa9363fa21a,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：河南省郑州市郑东新区九如路,2019/9/27 12:11,已排除,医院级
201c934c4fc048328a7d917ef61ab693,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：河南省郑州市郑东新区平安大道,2019/9/29 12:11,已排除,医院级
238d73549ccb470ab46a3a7cdffa3144,疑似共同食品聚集,食品名称：火锅;加工及包装方式：餐饮服务业,2019/12/7 12:16,已排除,医院级
8d46417a8e694285b0c75e45ff518c7a,疑似共同地点聚集,进食场所：街头食品;详细进食地点：四川省绵阳市涪城区马家巷,2019/8/2 12:04,已排除,医院级
99ad223b28b44586a7930fd438a0eddb,疑似共同食品聚集,食品名称：花甲米线（米线）;加工及包装方式：餐饮服务业,2019/8/2 12:05,已排除,医院级
caaaccb765ed44628c533dabfc94e6d1,疑似共同食品聚集,食品名称：花甲米线（花甲）;加工及包装方式：餐饮服务业,2019/8/2 12:05,已排除,医院级
d0c91ac06edf4937a802e6602dbac518,疑似共同食品聚集,食品名称：螃蟹;加工及包装方式：餐饮服务业,2019/8/23 12:10,已确定,医院级
c44dff68685549f38e8430dc2964ed43,疑似共同食品聚集,食品品牌：无品牌;食品名称：雪糕;加工及包装方式：预包装,2019/7/30 12:04,已排除,医院级
dbf9f67f528e443e8b502276acc469cf,疑似共同食品聚集,食品名称：大饼;加工及包装方式：餐饮服务业,2019/7/30 12:04,已排除,医院级
a8d439c695344cc091b1a70ca68c6323,疑似共同地点聚集,进食场所：农村宴席;详细进食地点：山东省滨州市惠民县三利酒店,2019/8/6 16:05,已排除,医院级
f07918f46bb748cf93e01b010bc52f88,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：山东省滨州市惠民县淄角镇蓝天饭店,2019/8/23 12:09,已确定,医院级
ec6943e831f24057b16eecb7b22b6a16,疑似共同食品聚集,食品品牌：无品牌;食品名称：雪糕;加工及包装方式：预包装,2019/8/22 12:10,已排除,医院级
8e84698a7a424c4bb9fa4b685815ca91,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：山东省滨州市惠民县文安东路老黎明酒店附近饺子馆,2019/8/26 12:09,已确定,医院级
7fe84d3186da434f8d6ac97ea855de84,疑似共同食品聚集,食品品牌：无品牌;食品名称：酸奶;加工及包装方式：预包装,2019/11/12 1:14,已排除,医院级
6335b7e6d4ce405ab4f89771182c0a64,疑似共同食品聚集,食品名称：老豆腐;加工及包装方式：餐饮服务业,2019/7/30 12:04,已排除,医院级
6580527d138b44329b5c0e08ed012a89,疑似共同食品聚集,食品品牌：无品牌;食品名称：酸奶;加工及包装方式：预包装,2019/8/29 12:11,已排除,医院级
6716f239133c48fbb72f5cadf609836d,疑似共同食品聚集,食品名称：炖草鱼;加工及包装方式：餐饮服务业,2019/8/26 12:10,已确定,医院级
02d08f42edb74aaf9547208f092b727e,疑似共同食品聚集,食品名称：烧鸡;加工及包装方式：餐饮服务业,2019/8/23 12:10,已确定,医院级
031bcc1e048342fdbc7ae50199334c6f,疑似共同食品聚集,食品名称：糖醋里脊;加工及包装方式：餐饮服务业,2019/8/26 12:10,已排除,医院级
5a892305ecca4cc784e86e56edbd5b3d,疑似共同食品聚集,食品品牌：崂山;食品名称：啤酒;加工及包装方式：预包装,2019/7/15 3:12,已排除,医院级
fad19e71fd384b408dbd95d7ff0cc1b7,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：四川省成都市都江堰市火锅店,2019/8/23 12:09,已排除,区县级
d3094fcd17a3467aad7bba2f232a2191,疑似共同食品聚集,食品名称：虾;加工及包装方式：餐饮服务业,2019/8/5 12:05,已排除,区县级
e0324eba161745fdb953ff9f6819d472,疑似共同食品聚集,食品名称：螃蟹;加工及包装方式：餐饮服务业,2019/9/15 1:11,已确定,医院级
7b8be79405b140f988691e74088097a8,疑似共同地点聚集,进食场所：农村宴席;详细进食地点：湖南省衡阳市石鼓区角山镇杨泗村颜家塘组,2019/9/14 16:11,已确定,医院级
2a26adc819874041b5bdf8941bf7a704,疑似共同食品聚集,食品名称：水鱼;加工及包装方式：餐饮服务业,2019/9/15 1:11,已确定,医院级
23713b00cc624376885b03f7ae81e89a,疑似共同食品聚集,食品名称：凉面;加工及包装方式：餐饮服务业,2019/7/30 12:04,已排除,地市级
647a10bd3d7f4d5993e2afac0403864a,疑似共同食品聚集,食品名称：牛肉汤;加工及包装方式：餐饮服务业,2019/7/27 12:02,已排除,地市级
cf42b784f2cd4822a2c0e5f444701c23,疑似共同食品聚集,食品名称：牛肉汤;加工及包装方式：餐饮服务业,2019/10/28 16:15,已排除,地市级
bb7677b4d92b43ee93bc51a3f43ce9da,疑似共同食品聚集,食品名称：烧烤;加工及包装方式：餐饮服务业,2019/8/6 12:06,已排除,地市级
f17e2a405282475096bdebaa92da086c,疑似共同食品聚集,食品名称：包子;加工及包装方式：餐饮服务业,2019/9/19 16:12,已排除,地市级
d5e9eb9a7dac46629b6fb241dcec72c7,疑似共同食品聚集,食品名称：火锅;加工及包装方式：餐饮服务业,2019/9/2 12:11,已排除,医院级
3b1e8047fd544d76a58203875e2bae59,疑似共同地点聚集,进食场所：街头食品;详细进食地点：黑龙江省哈尔滨市香坊区路边摊,2019/8/27 16:09,已排除,医院级
6d6e2a5675a34ba8a8dcb9e15782d4e3,疑似共同食品聚集,食品名称：豆腐;加工及包装方式：餐饮服务业,2019/10/26 12:13,已确定,医院级
c8d297db9e4f4d7998ac7e18108b2ebc,疑似共同地点聚集,进食场所：农村宴席;详细进食地点：福建省泉州市安溪县城厢镇砖文村基金楼,2019/7/3 3:04,已确定,医院级
e778ce24074e4a20a5bd611fd0657ca8,疑似共同地点聚集,进食场所：其他;详细进食地点：福建省泉州市南安市眉山乡天山村路边,2019/10/27 1:13,已确定,医院级
e9e754fd6f9a4484a90619a67acf6df5,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：福建省泉州市安溪县老汤豆腐,2019/10/26 12:13,已确定,医院级
ad76571259dd4414bf655b9aeae3f060,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：河南省南阳市南召县皇路店镇,2019/10/9 12:11,已排除,医院级
211913dda3b8402c9eab7a17fa4f0e15,疑似共同食品聚集,食品名称：牛肉汤;加工及包装方式：餐饮服务业,2019/10/9 12:12,已排除,医院级
91842ca12fbc4830a60a8d346d60af43,疑似共同地点聚集,进食场所：零售-其他;详细进食地点：河北省衡水市武强县小范街头,2019/7/18 2:59,已排除,医院级
8cb30329c272427994a552a2c243e182,疑似共同地点聚集,进食场所：其他;详细进食地点：云南省临沧市云县街头,2019/7/30 12:04,已确定,医院级
6e63e70557a8440eb04936f3b4853fe4,疑似共同地点聚集,进食场所：学校;详细进食地点：云南省临沧市云县宿舍,2019/9/19 12:11,已排除,医院级
51441949912743979309256932c19f1e,疑似共同食品聚集,食品名称：紫米露;加工及包装方式：餐饮服务业,2019/7/30 12:04,已确定,医院级
4910f162affa40e689be5ac2ee7b18af,疑似共同食品聚集,食品名称：火锅;加工及包装方式：餐饮服务业,2019/11/10 16:14,已排除,医院级
331425c9766145479762ab681ac2ae75,疑似共同食品聚集,食品名称：凉皮;加工及包装方式：餐饮服务业,2019/7/30 12:04,已排除,医院级
7e01cbab03724fd986804aeb00fcf8c7,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：湖北省武汉市江岸区大排档,2019/8/2 12:04,已排除,医院级
fc66ad9232e34fceb1a6f77e027a02c6,疑似共同食品聚集,食品名称：烧烤;加工及包装方式：餐饮服务业,2019/8/21 16:11,已排除,医院级
f0db12022a494c0395bc98bca342f8e9,疑似共同食品聚集,食品品牌：伊利;食品名称：牛奶;加工及包装方式：预包装,2019/9/14 12:12,已排除,医院级
f9b3a7f391014439a7b1a85454a2b311,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：山东省青岛市崂山区极地海洋附近大排档,2019/8/5 12:04,已确定,医院级
b1621d1df6e8418aad5b0f040c74b520,疑似共同食品聚集,食品名称：牛蛙火锅;加工及包装方式：餐饮服务业,2019/7/30 12:04,已确定,医院级
c741b15adacd4616902a1c92e9586c6a,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：山东省青岛市市南区海上渔,2019/8/27 12:08,已确定,医院级
bf0b7a5670bb417fa0f3547111302c83,疑似共同食品聚集,食品名称：海星、烤海参;加工及包装方式：餐饮服务业,2019/8/17 12:10,已确定,医院级
e5a8f6da90dc413fbc8e255f9d96d438,疑似共同食品聚集,食品名称：鸡、鱼、炒菜;加工及包装方式：餐饮服务业,2019/8/17 1:09,已确定,医院级
7de8226a8ffc4e71afe1f1c99406d284,疑似共同食品聚集,食品名称：生蚝、扇贝、海螺;加工及包装方式：餐饮服务业,2019/8/27 12:09,已确定,医院级
73360fb20cf44dd88ac4be3edca643bb,疑似共同食品聚集,食品名称：虾;加工及包装方式：餐饮服务业,2019/8/5 12:05,已确定,医院级
91a037ce9f5c40e1a8f19fd9875ffab7,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：山东省青岛市市南区老船夫,2019/7/30 12:04,已确定,医院级
42b8fae825854b5b8dc00e5b1ec96148,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：山东省青岛市市南区饭店,2019/7/30 12:04,已排除,医院级
3d436aeaa003428db1d7be49a0ea744d,疑似共同食品聚集,食品名称：鲅鱼水饺;加工及包装方式：餐饮服务业,2019/7/30 12:04,已确定,医院级
0a29707ae1a444cf8663c57a2dd617fd,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：山东省青岛市市南区万象城沪小二,2019/7/30 12:04,已确定,医院级
0c987ab464954db691c5a595e5185884,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：山东省青岛市市南区金灯台海鲜大酒店,2019/8/17 1:08,已确定,医院级
2b7335fb20de494496dec707281a62a3,疑似共同食品聚集,食品名称：米粉;加工及包装方式：餐饮服务业,2019/9/5 1:10,已排除,医院级
d4a1d4e953d34d77a3540f7efb220744,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：安徽省宣城市宣州区梦南都酒店,2019/9/7 12:10,已确定,区县级
2f71119ec7254c25a2d12cd97c1019d9,疑似共同食品聚集,食品品牌：青岛;食品名称：啤酒;加工及包装方式：预包装,2019/7/10 3:18,已排除,医院级
dac04a097eb24d9d99aef50b7afbf12c,疑似共同食品聚集,食品名称：卤菜;加工及包装方式：餐饮服务业,2019/8/1 12:06,已排除,区县级
f0509458ec86433bbd75b59302dc98de,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：山东省枣庄市滕州市西岗李庄,2019/8/1 16:05,已排除,医院级
ee095728ce8742038582f96ff1bf2b7c,疑似共同食品聚集,食品品牌：统一;食品名称：绿茶;加工及包装方式：预包装,2019/8/1 16:06,已排除,医院级
e7b2c889f7044b00ae5ea91291cfbd2e,疑似共同食品聚集,食品名称：板鸭;加工及包装方式：餐饮服务业,2019/8/8 12:05,已确定,医院级
f2191523056149229c626dab92469ed2,疑似共同食品聚集,食品名称：烧烤;加工及包装方式：餐饮服务业,2019/12/13 16:17,已排除,医院级
